name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Marcelo ,12,real-madrid,D,33,"1,79",78.3,Brazil,15,3,0,2,12,0,9,14,3,0,0.0,0.13333333333333333,0.0,0.6,0.9333333333333333,0.2,0.0
Álvaro Odriozola,19,real-madrid,D,25,"1,79",65.7,Spain,12,4,2,0,3,2,5,4,0,0,1.0,0.0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.0,0.0
Ferland Mendy,23,real-madrid,D,25,"1,55",72.45,France,26,2,1,0,13,3,22,39,3,0,0.3333333333333333,0.0,0.038461538461538464,0.8461538461538461,1.5,0.11538461538461539,0.0
Victor Chust,32,real-madrid,D,21,"1,82",0.0,Spain,2,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Miguel Gutiérrez,35,real-madrid,D,19,"1,55",67.5,Spain,5,3,0,1,0,0,6,4,0,0,0.0,0.2,0.0,1.2,0.8,0.0,0.0
Sergio Santos,40,real-madrid,D,20,"1,55",83.25,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Eden Hazard,7,real-madrid,M,30,"1,76",75.60000000000001,Belgium,14,7,3,2,9,4,2,19,0,0,0.75,0.14285714285714285,0.21428571428571427,0.14285714285714285,1.3571428571428572,0.0,0.0
Toni Kroos,8,real-madrid,M,31,"1,82",77.4,Germany,28,4,3,10,34,12,27,31,6,0,0.25,0.35714285714285715,0.10714285714285714,0.9642857142857143,1.1071428571428572,0.21428571428571427,0.0
Luka Modric,10,real-madrid,M,35,"1,76",65.7,Croatia,34,3,4,3,42,14,28,31,4,0,0.2857142857142857,0.08823529411764706,0.11764705882352941,0.8235294117647058,0.9117647058823529,0.11764705882352941,0.0
Casemiro ,14,real-madrid,M,29,"1,85",82.35000000000001,Brazil,33,2,6,4,45,10,54,54,10,1,0.6,0.12121212121212122,0.18181818181818182,1.6363636363636365,1.6363636363636365,0.30303030303030304,0.030303030303030304
Federico Valverde,15,real-madrid,M,22,"1,55",77.4,Uruguay,23,9,3,1,20,8,9,9,0,0,0.375,0.043478260869565216,0.13043478260869565,0.391304347826087,0.391304347826087,0.0,0.0
Lucas Vázquez,17,real-madrid,M,29,"1,76",68.4,Spain,24,3,2,5,21,8,30,31,3,0,0.25,0.20833333333333334,0.08333333333333333,1.25,1.2916666666666667,0.125,0.0
Isco ,22,real-madrid,M,29,"1,79",77.4,Spain,24,16,0,2,20,3,16,17,1,0,0.0,0.08333333333333333,0.0,0.6666666666666666,0.7083333333333334,0.041666666666666664,0.0
Marvin ,28,real-madrid,M,20,0,0.0,Spain,4,2,0,1,1,0,1,5,0,0,0.0,0.25,0.0,0.25,1.25,0.0,0.0
Arribas ,30,real-madrid,M,19,"1,76",0.0,Spain,8,8,0,0,1,1,1,2,1,0,0.0,0.0,0.0,0.125,0.25,0.125,0.0
Antonio Blanco,31,real-madrid,M,20,"1,79",0.0,Spain,4,2,0,0,2,0,6,2,0,0,0.0,0.0,0.0,1.5,0.5,0.0,0.0
Karim Benzema,9,real-madrid,F,33,"1,85",77.4,France,33,1,22,8,118,53,17,25,2,0,0.41509433962264153,0.24242424242424243,0.6666666666666666,0.5151515151515151,0.7575757575757576,0.06060606060606061,0.0
Marco Asensio,11,real-madrid,F,25,"1,82",75.60000000000001,Spain,34,14,5,2,37,11,5,28,1,0,0.45454545454545453,0.058823529411764705,0.14705882352941177,0.14705882352941177,0.8235294117647058,0.029411764705882353,0.0
